medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Tegretol 20 mg/ml, suspension buvable – [carbamazépine]",Remise à disposition,Neurologie,2026-05-06,2026-05-06,2026-05-06,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tegretol-20-mg-ml-suspension-buvable-carbamazepine,carbamazépine,Tegretol 20 mg/ml
"Ipratropium Teva 0,5 mg/2 ml adultes, solution pour inhalation par nébuliseur en récipient unidose – [ipratropium (bromure d')",Remise à disposition,Pneumologie,2026-05-05,2026-03-24,2026-03-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ipratropium-teva-0-5-mg-2-ml-adultes-solution-pour-inhalation-par-nebuliseur-en-recipient-unidose-ipratropium-bromure-d,,Ipratropium Teva 0
"Maginjectable 0,8 pour cent, solution injectable – [magnésium (pidolate de)]",Remise à disposition,Hépato-gastroentérologie,2026-05-05,2026-01-19,2026-01-19,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/maginjectable-0-8-pour-cent-solution-injectable-magnesium-pidolate-de,magnésium (pidolate de),Maginjectable 0
"Repatha 140 mg, solution injectable en stylo prérempli – [evolocumab (mammifère/hamster/cellules cho)]",Remise à disposition,"Endocrinologie, Neurologie, Cardiologie",2026-05-05,2026-02-26,2026-02-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/repatha-140-mg-solution-injectable-en-stylo-prerempli-evolocumab-mammifere-hamster-cellules-cho,evolocumab (mammifère/hamster/cellules cho),Repatha 140 mg
"Sibnayal 8 mEq, granulés à libération prolongée – [potassium (bicarbonate de) /potassium (citrate de)]",Remise à disposition,Néphrologie,2026-05-05,2026-04-01,2026-04-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/sibnayal-8-meq-granules-a-liberation-prolongee-potassium-bicarbonate-de-potassium-citrate-de,potassium (bicarbonate de) /potassium (citrate de),Sibnayal 8 mEq
"Fluvoxamine 100 mg, comprimé pelliculé sécable – [fluvoxamine (maléate de)]",Remise à disposition,Psychiatrie,2026-05-05,2026-04-14,2026-04-14,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluvoxamine-100-mg-comprime-pellicule-secable-fluvoxamine-maleate-de,fluvoxamine (maléate de),Fluvoxamine 100 mg
"Varilrix, poudre et solvant pour solution injectable en seringue préremplie. Vaccin varicelleux (vivant) – [virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))]",Tension d'approvisionnement,Infectiologie,2026-05-05,2026-03-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/varilrix-poudre-et-solvant-pour-solution-injectable-en-seringue-preremplie-vaccin-varicelleux-vivant-virus-de-la-varicelle-souche-oka-vivant-attenue-mammiferes-humain-cellules-diploides-mrc-5,"virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))",Varilrix
"Burinex 1 mg et 5 mg, comprimé – [bumétanide]",Tension d'approvisionnement,"Néphrologie, Cardiologie",,2026-04-16,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/burinex-1-mg-et-5-mg-comprime-bumetanide,bumétanide,Burinex 1 mg et 5 mg
"Dobutamine Panpharma 250 mg/20 ml, solution à diluer pour perfusion – [dobutamine (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,,2026-04-03,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dobutamine-panpharma-250-mg-20-ml-solution-a-diluer-pour-perfusion-dobutamine-chlorhydrate-de,dobutamine (chlorhydrate de),Dobutamine Panpharma 250 mg/20 ml
"Pylera 140 mg/125 mg/125 mg, gélule – [bismuth potassique (sous-citrate de) /métronidazole /tétracycline (chlorhydrate de)]",Remise à disposition,Infectiologie,2026-05-04,2025-11-01,2025-11-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/pylera-140-mg-125-mg-125-mg-gelule-bismuth-potassique-sous-citrate-de-metronidazole-tetracycline-chlorhydrate-de,bismuth potassique (sous-citrate de) /métronidazole /tétracycline (chlorhydrate de),Pylera 140 mg/125 mg/125 mg
