medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Colchicine Opocalcium 1 mg, comprimé sécable – [colchicine, opium (poudre d'), tiémonium (métilsulfate de)]",Tension d'approvisionnement,"Néphrologie, Rhumatologie, Cardiologie",,2024-11-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/colchicine-opocalcium-1-mg-comprime-secable-colchicine-opium-poudre-d-tiemonium-metilsulfate-de,"colchicine, opium (poudre d'), tiémonium (métilsulfate de)",Colchicine Opocalcium 1 mg
"Imbruvica 560 mg, comprimé pelliculé – [ibrutinib]",Rupture de stock,Oncologie/Radiothérapie,,2026-06-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imbruvica-560-mg-comprime-pellicule-ibrutinib,ibrutinib,Imbruvica 560 mg
"Célestène 4 mg/1 ml, solution injectable – [bétaméthasone (phosphate sodique de)]",Tension d'approvisionnement,"Dermatologie, ORL, Rhumatologie",,2026-06-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/celestene-4-mg-1-ml-solution-injectable-betamethasone-phosphate-sodique-de,bétaméthasone (phosphate sodique de),Célestène 4 mg/1 ml
"Lariam 250 mg, comprimé sécable – [méfloquine]",Rupture de stock,Infectiologie,,2026-06-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lariam-250-mg-comprime-secable-mefloquine,méfloquine,Lariam 250 mg
"Zophren 2 mg/ml, solution injectable en ampoule (IV)  – [ondansétron]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-06-26,2023-12-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zophren-2-mg-ml-solution-injectable-en-ampoule-iv-ondansetron,ondansétron,Zophren 2 mg/ml
"Repevax, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigène(s))",Tension d'approvisionnement,Infectiologie,2026-06-25,2024-10-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/repevax-suspension-injectable-en-seringue-preremplie-vaccin-diphterique-tetanique-coquelucheux-acellulaire-multicompose-et-poliomyelitique-inactive-adsorbe-a-teneur-reduite-en-antigene-s-1,,Repevax
"Emend 125 mg, poudre pour suspension buvable – [aprépitant]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-06-25,2026-01-09,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/emend-125-mg-poudre-pour-suspension-buvable-aprepitant,aprépitant,Emend 125 mg
"Quasym L.P., gélule à libération modifiée - [méthylphénidate]",Tension d'approvisionnement,Psychiatrie,,2026-06-18,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/quasym-l-p-gelule-a-liberation-modifiee-methylphenidate-1,méthylphénidate,Quasym L.P.
"Linézolide Arrow 600 mg, comprimé pelliculé – [linezolide]",Rupture de stock,Pneumologie,,2026-06-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/linezolide-arrow-600-mg-comprime-pellicule-linezolide,linezolide,Linézolide Arrow 600 mg
"Zypadhera 300 mg, poudre et solvant pour suspension injectable à libération prolongée - [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,2026-06-24,2026-06-24,2026-06-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-300-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,Zypadhera 300 mg
"Héparine calcique Panpharma 25 000 UI/mL, solution injectable en seringue pré-remplie de 0,2 ml  (S.C.) – [héparine calcique]",Tension d'approvisionnement,Cardiologie,2026-06-24,2026-03-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/heparine-calcique-panpharma-25-000-ui-ml-solution-injectable-en-seringue-pre-remplie-de-0-2-ml-s-c-heparine-calcique,héparine calcique,Héparine calcique Panpharma 25 000 UI/mL
"Atgam 50 mg/mL, solution à diluer pour perfusion – [immunoglobuline équine anti-lymphocyte T humain]",Tension d'approvisionnement,Immunologie,2026-06-24,2026-03-23,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/atgam-50-mg-ml-solution-a-diluer-pour-perfusion-immunoglobuline-equine-anti-lymphocyte-t-humain,immunoglobuline équine anti-lymphocyte T humain,Atgam 50 mg/mL
"Synarel 0,2 mg/dose, solution pour pulvérisation nasale – [nafaréline (acétate de)]",Tension d'approvisionnement,Gynécologie,2026-06-24,2026-03-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/synarel-0-2-mg-dose-solution-pour-pulverisation-nasale-nafareline-acetate-de,nafaréline (acétate de),Synarel 0
"Zyvoxid 100 mg/5 ml, granulés pour suspension buvable – [linézolide]",Remise à disposition,Pneumologie,2026-06-24,2026-06-24,2026-06-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zyvoxid-100-mg-5-ml-granules-pour-suspension-buvable-linezolide,linézolide,Zyvoxid 100 mg/5 ml
"Rifinah 300 mg/150 mg, comprimé enrobé – [isoniazide, rifampicine]",Tension d'approvisionnement,Infectiologie,2026-06-22,2025-09-23,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifinah-300-mg-150-mg-comprime-enrobe-isoniazide-rifampicine,"isoniazide, rifampicine",Rifinah 300 mg/150 mg
"Rifadine 300 mg, gélule (boites de 8 et de 30 gélules) – [rifampicine]",Tension d'approvisionnement,Infectiologie,2026-06-22,2024-03-21,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifadine-300-mg-gelule-rifampicine,rifampicine,Rifadine 300 mg
"Dilantin 250 mg/5 ml, solution injectable – [phénytoïne sodique]",Rupture de stock,Neurologie,2026-06-19,2025-10-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dilantin-250-mg-5-ml-solution-injectable-phenytoine-sodique,phénytoïne sodique,Dilantin 250 mg/5 ml
"Cardioxane 500 mg, poudre pour solution pour perfusion – [dexrazoxane (chlorhydrate de)]",Remise à disposition,Oncologie/Radiothérapie,2026-06-19,2026-06-18,2026-06-18,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cardioxane-500-mg-poudre-pour-solution-pour-perfusion-dexrazoxane-chlorhydrate-de,dexrazoxane (chlorhydrate de),Cardioxane 500 mg
"Voltarenophtabak 1 mg/ml, collyre en solution et Voltarenophta 0,1 pour cent (0,3 mg/0,3 ml), collyre en solution en récipient unidose – [diclofénac sodique]",Tension d'approvisionnement,Ophtalmologie,,2025-09-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/voltarenophtabak-1-mg-ml-collyre-en-solution-et-voltarenophta-0-1-pour-cent-0-3-mg-0-3-ml-collyre-en-solution-en-recipient-unidose-diclofenac-sodique,diclofénac sodique,Voltarenophtabak 1 mg/ml
Trandolapril 2 mg et 4 mg – [trandolapril],Tension d'approvisionnement,Cardiologie,2026-06-18,2024-07-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/trandolapril-2-mg-et-4-mg-trandolapril,trandolapril,Trandolapril 2 mg et 4 mg
"Alkonatrem 150 mg, gélule – [chlorhydrate de déméclocycline]",Rupture de stock,"Hématologie, Oncologie/Radiothérapie",2026-06-17,2013-12-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/alkonatrem-150-mg-gelule-chlorhydrate-de-demeclocycline,chlorhydrate de déméclocycline,Alkonatrem 150 mg
"Méthylphénidate Viatris LP, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-17,2026-06-16,2026-06-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-viatris-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate Viatris LP
"Téralithe 250 mg, comprimé sécable – [lithium (carbonate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-17,2025-09-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/teralithe-250-mg-comprime-secable-lithium-carbonate-de,lithium (carbonate de),Téralithe 250 mg
"Spécialités à base de propranolol 40 mg, comprimé – [chlorhydrate de propranolol]",Tension d'approvisionnement,Cardiologie,2026-06-17,2025-11-27,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,chlorhydrate de propranolol,Spécialités à base de propranolol 40 mg
"Befizal L.P. 400 mg, comprimé enrobé à libération prolongée – [bézafibrate]",Remise à disposition,Endocrinologie,2026-06-16,2026-06-16,2026-06-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/befizal-l-p-400-mg-comprime-enrobe-a-liberation-prolongee-bezafibrate,bézafibrate,Befizal L.P. 400 mg
"Rispéridone 0,5 mg, 1 mg, 2 mg et 4 mg, comprimé orodispersible - [rispéridone]",Tension d'approvisionnement,Psychiatrie,2026-06-16,2025-02-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-0-5-mg-1-mg-2-mg-et-4-mg-comprime-orodispersible-risperidone,rispéridone,Rispéridone 0
"Norcholesterol iodé [131I] CIS Bio International 7,5 à 15 MBq/mL solution injectable [Référence: Norchol-131] – [6-iodométhylnorcholestérol [131 I]]",Remise à disposition,"Imagerie/Radiologie, Médecine nucléaire",2026-06-16,2026-05-29,2026-05-29,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/norcholesterol-iode-131i-cis-bio-international-7-5-a-15-mbq-ml-solution-injectable-reference-norchol-131-6-iodomethylnorcholesterol-131-i,131I,Norcholesterol iodé [131I] CIS Bio International 7
"Dectancyl 0,5 mg, comprimé – [dexaméthasone (acétate de)]",Tension d'approvisionnement,"Dermatologie, Endocrinologie, Hématologie",,2026-06-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dectancyl-0-5-mg-comprime-dexamethasone-acetate-de,dexaméthasone (acétate de),Dectancyl 0
"Chibroxine 0,3%, collyre en solution – [norfloxacine]",Tension d'approvisionnement,Ophtalmologie,,2026-06-10,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/chibroxine-0-3-collyre-en-solution-norfloxacine,norfloxacine,Chibroxine 0
"Azactam 1 g, poudre et solution pour usage parentéral – [aztréonam]",Rupture de stock,Infectiologie,2026-06-15,2024-04-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/azactam-1-g-poudre-et-solution-pour-usage-parenteral-aztreonam,aztréonam,Azactam 1 g
"Ogivri 420 mg, poudre pour solution à diluer pour perfusion – [trastuzumab]",Remise à disposition,Oncologie/Radiothérapie,2026-06-15,2026-06-15,2026-06-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ogivri-420-mg-poudre-pour-solution-a-diluer-pour-perfusion-trastuzumab,trastuzumab,Ogivri 420 mg
"Bosentan 125 mg, comprimé pelliculé – [bosentan monohydraté]",Tension d'approvisionnement,Cardiologie,2026-06-15,2026-03-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/bosentan-125-mg-comprime-pellicule-bosentan-monohydrate,bosentan monohydraté,Bosentan 125 mg
"Diprostene, suspension injectable en seringue pré-remplie – [bétaméthasone (dipropionate de), bétaméthasone (phosphate sodique de)]",Tension d'approvisionnement,"Dermatologie, ORL, Rhumatologie",2026-06-12,2026-04-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/diprostene-suspension-injectable-en-seringue-pre-remplie-betamethasone-dipropionate-de-betamethasone-phosphate-sodique-de,"bétaméthasone (dipropionate de), bétaméthasone (phosphate sodique de)",Diprostene
"Fluorouracile Accord 50 mg/ml, solution à diluer pour perfusion, flacons de 5 ml, 20 ml et 100 ml – [fluorouracile]",Remise à disposition,Oncologie/Radiothérapie,2026-06-11,2026-03-13,2026-03-13,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluorouracile-accord-50-mg-ml-solution-a-diluer-pour-perfusion-flacons-de-5-ml-20-ml-et-100-ml-fluorouracile,fluorouracile,Fluorouracile Accord 50 mg/ml
"Holoxan 1000 mg, poudre pour solution injectable et 2000 mg, poudre pour usage parentéral – [ifosfamide]",Tension d'approvisionnement,"Hématologie, Oncologie/Radiothérapie",2026-06-11,2026-01-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/holoxan-1000-mg-poudre-pour-solution-injectable-et-2000-mg-poudre-pour-usage-parenteral-ifosfamide,ifosfamide,Holoxan 1000 mg
"Kétoprofène Pharmy II 100 mg/2 ml, solution injectable intramusculaire (I.M.) – [kétoprofène]",Remise à disposition,"Rhumatologie, Traitement de la douleur",2026-06-11,2026-06-11,2026-06-11,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ketoprofene-pharmy-ii-100-mg-2-ml-solution-injectable-intramusculaire-i-m-ketoprofene,kétoprofène,Kétoprofène Pharmy II 100 mg/2 ml
"Varivax, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin varicelleux (vivant) – [virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))]",Remise à disposition,Infectiologie,2026-06-11,2026-06-09,2026-06-09,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/varivax-poudre-et-solvant-pour-suspension-injectable-en-seringue-preremplie-vaccin-varicelleux-vivant-virus-de-la-varicelle-souche-oka-vivant-attenue-mammiferes-humain-cellules-diploides-mrc-5,"virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))",Varivax
"Méthylphénidate EG LP 18 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-10,2025-11-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-eg-lp-18-mg-et-36-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate EG LP 18 mg
"Concerta LP 36 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-10,2026-06-10,2026-06-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Concerta LP 36 mg
"Méthylphénidate EG LP 36 mg et 54 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-10,2026-06-10,2026-06-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-eg-lp-36-mg-et-54-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate EG LP 36 mg et 54 mg
"Clomid 50 mg, comprimé – [clomifène (citrate de)]",Rupture de stock,Gynécologie,,2026-02-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/clomid-50-mg-comprime-clomifene-citrate-de,clomifène (citrate de),Clomid 50 mg
"Largactil 100 mg, comprimé pelliculé sécable – [chlorpromazine (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-09,2026-06-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/largactil-100-mg-comprime-pellicule-secable-chlorpromazine-chlorhydrate-de,chlorpromazine (chlorhydrate de),Largactil 100 mg
Rispéridone 3 mg comprimé orodispersible – [rispéridone],Rupture de stock,Psychiatrie,2026-06-09,2025-09-24,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-3-mg-comprime-orodispersible-risperidone,rispéridone,Rispéridone 3 mg comprimé orodispersible
"Ropinirole EG 2 mg, comprimé pelliculé – [ropinirole (chlorhydrate de)]",Tension d'approvisionnement,Neurologie,,2026-05-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ropinirole-eg-2-mg-comprime-pellicule-ropinirole-chlorhydrate-de,ropinirole (chlorhydrate de),Ropinirole EG 2 mg
"Cynomel 0,025 mg, comprimé sécable – [liothyronine sodique]",Arrêt de commercialisation,Endocrinologie,2026-06-08,2025-10-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cynomel-0-025-mg-comprime-secable-liothyronine-sodique,liothyronine sodique,Cynomel 0
"Rovamycine 1,5 millions UI, lyophilisat pour usage parentéral – [spiramycine]",Remise à disposition,Infectiologie,2026-06-08,2026-06-08,2026-06-08,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rovamycine-1-5-millions-ui-lyophilisat-pour-usage-parenteral-spiramycine,spiramycine,Rovamycine 1
"Ropinirole Teva 0,25 mg, 0,50 mg 1 mg et 2 mg, comprimés pelliculés – [ropinirole]",Tension d'approvisionnement,Neurologie,2026-06-05,2026-03-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ropinirole-0-25-mg-0-5-mg-1-mg-2-mg-et-5mg-comprime-pellicule-ropinirole,ropinirole,Ropinirole Teva 0
"Emblaveo 1,5 g/0,5 g, poudre pour solution à diluer pour perfusion – [avibactam sodique, aztréonam]",Tension d'approvisionnement,Infectiologie,2026-06-05,2026-02-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/emblaveo-1-5-g-0-5-g-poudre-pour-solution-a-diluer-pour-perfusion-avibactam-sodique-aztreonam,"avibactam sodique, aztréonam",Emblaveo 1
"Levocarnil 1 g/5 ml, solution injectable en ampoule – [lévocarnitine]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-06-05,2026-04-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/levocarnitine-1-g-5-ml-solution-injectable-en-ampoule-levocarnitine,lévocarnitine,Levocarnil 1 g/5 ml
"Primaquine Sanofi 15 mg, comprimé pelliculé, flacon de 100 comprimés avec kit de reconditionnement – [primaquine (diphosphate de)]",Rupture de stock,Infectiologie,,2026-05-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/primaquine-sanofi-15-mg-comprime-pellicule-flacon-de-100-comprimes-avec-kit-de-reconditionnement-primaquine-diphosphate-de,primaquine (diphosphate de),Primaquine Sanofi 15 mg
"Tarka LP 180 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2025-06-19,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-180-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-et-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),Tarka LP 180 mg/2 mg
"Tarka LP 240 mg/2 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés et de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2025-03-19,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),Tarka LP 240 mg/2 mg
"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 90 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2026-05-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),Tarka LP 240 mg/4 mg
"Tarka LP 240 mg/4 mg, comprimé pelliculé à libération prolongée, boite de 30 comprimés – [trandolapril/vérapamil (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,2026-06-04,2026-01-30,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-trandolapril-verapamil-chlorhydrate-de,trandolapril/vérapamil (chlorhydrate de),Tarka LP 240 mg/4 mg
"Tenormine 5 mg/10 ml, solution injectable IV en ampoule – [aténolol]",Rupture de stock,Cardiologie,2026-06-01,2026-04-14,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tenormine-5-mg-10-ml-solution-injectable-iv-en-ampoule-atenolol,aténolol,Tenormine 5 mg/10 ml
"Parlodel 2,5 mg, comprimé sécable – [bromocriptine (mésilate de)]",Remise à disposition,"Endocrinologie, Neurologie",2026-05-29,2026-05-29,2026-05-29,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/parlodel-2-5-mg-comprime-secable-bromocriptine-mesilate-de,bromocriptine (mésilate de),Parlodel 2
"Extencilline 1,2 MUI, poudre et solvant pour suspension injectable IM – [benzathine benzylpénicilline]",Remise à disposition,Infectiologie,2026-05-28,2026-05-04,2026-05-04,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-1-2-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline,benzathine benzylpénicilline,Extencilline 1
"Extencilline 2,4 MUI, poudre et solvant pour suspension injectable IM – [benzathine benzylpénicilline]",Remise à disposition,Infectiologie,2026-05-28,2026-05-04,2026-05-04,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-2-4-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline,benzathine benzylpénicilline,Extencilline 2
"Cimzia 200 mg, solution injectable en stylo prérempli – [certolizumab pégol]",Tension d'approvisionnement,Immunologie,,2026-05-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cimzia-200-mg-solution-injectable-en-stylo-prerempli-certolizumab-pegol,certolizumab pégol,Cimzia 200 mg
"Synacthène 0,25 mg/1 ml, solution injectable – [tétracosactide]",Tension d'approvisionnement,"Endocrinologie, Neurologie",2026-05-27,2025-11-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/synacthene-0-25-mg-1-ml-solution-injectable-tetracosactide,tétracosactide,Synacthène 0
"Zentel 400 mg, comprimé et Zentel 0,4 g/10 mL, suspension buvable – [albendazole]",Tension d'approvisionnement,Infectiologie,,2025-10-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zentel-400-mg-comprime-et-zentel-0-4-g-10-ml-suspension-buvable-albendazole,albendazole,Zentel 400 mg
"Betneval 0,1 %, crème – [bétaméthasone (valérate de)]",Tension d'approvisionnement,Dermatologie,2026-05-26,2026-04-03,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/betneval-0-1-creme-betamethasone-valerate-de,bétaméthasone (valérate de),Betneval 0
"Etopophos 100 mg, lyophilisat pour usage parentéral – [étoposide]",Remise à disposition,"Hématologie, Oncologie/Radiothérapie",2026-05-26,2026-05-26,2026-05-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/etopophos-100-mg-lyophilisat-pour-usage-parenteral-etoposide,étoposide,Etopophos 100 mg
"Novorapid Pumpcart 100 unités/ml, solution injectable en cartouche – [insuline asparte ((levure/saccharomyces cerevisiae))]",Tension d'approvisionnement,Endocrinologie,2026-05-22,2025-06-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/novorapid-pumpcart-100-unites-ml-solution-injectable-en-cartouche-insuline-asparte-levure-saccharomyces-cerevisiae,insuline asparte ((levure/saccharomyces cerevisiae)),Novorapid Pumpcart 100 unités/ml
"Izalgi 500 mg/25 mg, gélule – [opium (poudre d'), paracétamol]",Tension d'approvisionnement,Traitement de la douleur,2026-05-22,2025-10-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/izalgi-500-mg-25-mg-gelule-opium-poudre-d-paracetamol,"opium (poudre d'), paracétamol",Izalgi 500 mg/25 mg
"Mydriaticum 2 mg/0,4 ml, collyre en récipient unidose – [tropicamide]",Tension d'approvisionnement,Ophtalmologie,2026-05-22,2026-01-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mydriaticum-2-mg-0-4-ml-collyre-en-recipient-unidose-tropicamide,tropicamide,Mydriaticum 2 mg/0
"Levmentin 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV) – [amoxicilline sodique, potassium (clavulanate de)]",Remise à disposition,Infectiologie,2026-05-22,2026-05-22,2026-05-22,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/levmentin-1-g-200-mg-poudre-pour-solution-injectable-pour-perfusion-iv-amoxicilline-sodique-potassium-clavulanate-de,"amoxicilline sodique, potassium (clavulanate de)",Levmentin 1 g/200 mg
"Acide acétylsalicylique 75 mg, , comprimé gastro-résistant – [acide acétylsalicylique]",Tension d'approvisionnement,Cardiologie,,2026-05-18,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/acide-acetylsalicylique-75-mg-comprime-gastro-resistant-acide-acetylsalicylique,acide acétylsalicylique,Acide acétylsalicylique 75 mg
"Tranxène 20 mg/2 ml, lyophilisat et solution pour usage parentéral – [clorazépate dipotassique]",Rupture de stock,Psychiatrie,2026-05-21,2024-10-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tranxene-20-mg-2-ml-lyophilisat-et-solution-pour-usage-parenteral-clorazepate-dipotassique,clorazépate dipotassique,Tranxène 20 mg/2 ml
"Hydrocortisone Upjohn 100 mg, préparation injectable – [hydrocortisone (hydrogénosuccinate sodique d')]",Remise à disposition,Endocrinologie,2026-05-21,2026-05-21,2026-05-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/hydrocortisone-upjohn-100-mg-preparation-injectable-hydrocortisone-hydrogenosuccinate-sodique-d,hydrocortisone (hydrogénosuccinate sodique d'),Hydrocortisone Upjohn 100 mg
"Depo Prodasone 500 mg, suspension injectable – [médroxyprogestérone]",Tension d'approvisionnement,Oncologie/Radiothérapie,2026-05-20,2025-08-08,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/depo-prodasone-500-mg-suspension-injectable-medroxyprogesterone,médroxyprogestérone,Depo Prodasone 500 mg
"Tétracaïne 1% Théa, collyre en solution en récipient unidose – [chlorhydrate de tétracaïne]",Rupture de stock,Ophtalmologie,2026-05-20,2025-10-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tetracaine-1-thea-collyre-en-solution-en-recipient-unidose-chlorhydrate-de-tetracaine,chlorhydrate de tétracaïne,Tétracaïne 1% Théa
"Norfloxacine EG 400 mg, comprimé pelliculé – [norfloxacine]",Remise à disposition,Infectiologie,2026-05-20,2026-05-20,2026-05-20,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/norfloxacine-eg-400-mg-comprime-pellicule-norfloxacine,norfloxacine,Norfloxacine EG 400 mg
"Endoxan 50 mg, comprimé enrobé – [cyclophosphamide]",Tension d'approvisionnement,"Oncologie/Radiothérapie, Rhumatologie",2026-05-19,2025-07-07,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/endoxan-50-mg-comprime-enrobe-cyclophosphamide,cyclophosphamide,Endoxan 50 mg
"Vancomycine Viatris 125 mg, poudre pour solution à diluer pour perfusion-vancomycine – [chlorhydrate de]",Remise à disposition,Infectiologie,2026-05-19,2026-05-07,2026-05-07,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/vancomycine-viatris-125-mg-poudre-pour-solution-a-diluer-pour-perfusion-vancomycine-chlorhydrate-de,chlorhydrate de,Vancomycine Viatris 125 mg
