medicament,statut,domaine,date_maj,date_debut,date_remise,url
"Mydriaticum 2 mg/0,4 ml, collyre en récipient unidose – [tropicamide]",Tension d'approvisionnement,Ophtalmologie,2026-05-22,2026-01-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mydriaticum-2-mg-0-4-ml-collyre-en-recipient-unidose-tropicamide
"Levmentin 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV) – [amoxicilline sodique, potassium (clavulanate de)]",Remise à disposition,Infectiologie,2026-05-22,2026-05-22,2026-05-22,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/levmentin-1-g-200-mg-poudre-pour-solution-injectable-pour-perfusion-iv-amoxicilline-sodique-potassium-clavulanate-de
"Acide acétylsalicylique 75 mg, , comprimé gastro-résistant – [acide acétylsalicylique]",Tension d'approvisionnement,Cardiologie,,2026-05-18,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/acide-acetylsalicylique-75-mg-comprime-gastro-resistant-acide-acetylsalicylique
"Tranxène 20 mg/2 ml, lyophilisat et solution pour usage parentéral – [clorazépate dipotassique]",Rupture de stock,Psychiatrie,2026-05-21,2024-10-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tranxene-20-mg-2-ml-lyophilisat-et-solution-pour-usage-parenteral-clorazepate-dipotassique
"Hydrocortisone Upjohn 100 mg, préparation injectable – [hydrocortisone (hydrogénosuccinate sodique d')]",Remise à disposition,Endocrinologie,2026-05-21,2026-05-21,2026-05-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/hydrocortisone-upjohn-100-mg-preparation-injectable-hydrocortisone-hydrogenosuccinate-sodique-d
"Depo Prodasone 500 mg, suspension injectable – [médroxyprogestérone]",Tension d'approvisionnement,Oncologie/Radiothérapie,2026-05-20,2025-08-08,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/depo-prodasone-500-mg-suspension-injectable-medroxyprogesterone
"Tétracaïne 1% Théa, collyre en solution en récipient unidose – [chlorhydrate de tétracaïne]",Rupture de stock,Ophtalmologie,2026-05-20,2025-10-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tetracaine-1-thea-collyre-en-solution-en-recipient-unidose-chlorhydrate-de-tetracaine
"Norfloxacine EG 400 mg, comprimé pelliculé – [norfloxacine]",Remise à disposition,Infectiologie,2026-05-20,2026-05-20,2026-05-20,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/norfloxacine-eg-400-mg-comprime-pellicule-norfloxacine
"Endoxan 50 mg, comprimé enrobé – [cyclophosphamide]",Tension d'approvisionnement,"Oncologie/Radiothérapie, Rhumatologie",2026-05-19,2025-07-07,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/endoxan-50-mg-comprime-enrobe-cyclophosphamide
"Vancomycine Viatris 125 mg, poudre pour solution à diluer pour perfusion-vancomycine – [chlorhydrate de]",Remise à disposition,Infectiologie,2026-05-19,2026-05-07,2026-05-07,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/vancomycine-viatris-125-mg-poudre-pour-solution-a-diluer-pour-perfusion-vancomycine-chlorhydrate-de
"Fiasp Pumpcart 100 unités/ml, solution injectable en cartouche – [insuline asparte (levure/saccharomyces cerevisiae)]",Remise à disposition,Endocrinologie,2026-05-18,2026-05-15,2026-05-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fiasp-pumpcart-100-unites-ml-solution-injectable-en-cartouche-insuline-asparte-levure-saccharomyces-cerevisiae
"Fiasp Flextouch 100 unités/ml, solution injectable en stylo prérempli – [insuline asparte ((levure/saccharomyces cerevisiae))]",Remise à disposition,Endocrinologie,2026-05-18,2026-05-15,2026-05-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fiasp-flextouch-100-unites-ml-solution-injectable-en-stylo-prerempli-insuline-asparte-levure-saccharomyces-cerevisiae
"Persantine 10 mg/2 mL, solution injectable, ampoule – [dipyridamole]",Remise à disposition,"Imagerie/Radiologie, Cardiologie, Médecine nucléaire",2026-05-18,2026-05-18,2026-05-18,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/persantine-10-mg-2-ml-solution-injectable-ampoule-dipyridamole
"Néosynéphrine 10 % Faure, collyre en récipient unidose – [phényléphrine]",Rupture de stock,Ophtalmologie,2026-05-18,2025-10-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/neosynephrine-10-faure-collyre-en-recipient-unidose-phenylephrine
"Kenacort Retard 40 mg/1 ml, suspension injectable – [triamcinolone (acétonide de)]",Tension d'approvisionnement,"Dermatologie, Rhumatologie",2026-05-18,2026-02-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/kenacort-retard-40-mg-1-ml-suspension-injectable-triamcinolone-acetonide-de
"Toujeo 300 unités/ml DoubleStar, solution injectable en stylo prérempli – [insuline glargine ((bactérie/Escherichia Coli))]",Remise à disposition,Endocrinologie,2026-05-18,2026-05-15,2026-05-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/toujeo-300-unites-ml-doublestar-solution-injectable-en-stylo-prerempli-insuline-glargine-bacterie-escherichia-coli
"Mitomycine Accord 20 mg, poudre pour solution injectable / perfusion ou voie intravésicale – [mitomycine]",Tension d'approvisionnement,Oncologie/Radiothérapie,2026-05-13,2025-05-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mitomycine-accord-20-mg-poudre-pour-solution-injectable-perfusion-ou-voie-intravesicale-mitomycine
"Un-Alfa 0,10 microgramme, solution buvable en gouttes – [alfacalcidol]",Remise à disposition,"Endocrinologie, Néphrologie",2026-05-13,2025-11-19,2025-11-19,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/un-alfa-0-10-microgramme-solution-buvable-en-gouttes-alfacalcidol
"Cyanokit 5 g, poudre pour solution pour perfusion – [hydroxocobalamine]",Remise à disposition,Anesthésie/Réanimation/Soins intensifs,2026-05-12,2026-05-12,2026-05-12,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cyanokit-5-g-poudre-pour-solution-pour-perfusion-hydroxocobalamine
"Dexocol 1 mg/mL, collyre en solution – [dexaméthasone (phosphate sodique de)]",Tension d'approvisionnement,Ophtalmologie,2026-05-12,2025-03-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dexocol-1-mg-ml-collyre-en-solution-dexamethasone-phosphate-sodique-de
"Concerta LP 18 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-05-12,2026-05-12,2026-05-12,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-18-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de
"Oncovin 1 mg, solution injectable – [vincristine (sulfate de)]",Remise à disposition,Oncologie/Radiothérapie,2026-05-11,2026-02-20,2026-02-20,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/oncovin-1-mg-solution-injectable-vincristine-sulfate-de
"Victan 2 mg, comprimé pelliculé sécable – [loflazépate d'éthyle]",Rupture de stock,"Addictologie, Neurologie",2026-05-11,2026-01-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/victan-2-mg-comprime-pellicule-secable-loflazepate-dethyle
"Lonquex 6 mg/0,6 mL, solution injectable – [lipegfilgrastim ((bacterie/escherichia coli))]",Tension d'approvisionnement,Oncologie/Radiothérapie,,2026-03-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lonquex-6-mg-0-6-ml-solution-injectable-lipegfilgrastim-bacterie-escherichia-coli
"Concerta LP 54 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-05-07,2026-05-05,2026-05-05,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-54-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de
"Ritonavir Arrow 100 mg, comprimé pelliculé – [ritonavir]",Rupture de stock,Infectiologie,2026-05-07,2026-05-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ritonavir-arrow-100-mg-comprime-pellicule-ritonavir
"Biltricide 600 mg, comprimé pelliculé quadrisécable – [praziquantel]",Rupture de stock,Infectiologie,2026-05-06,2024-09-09,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/biltricide-600-mg-comprime-pellicule-quadrisecable-praziquantel
"Omjjara 100 mg, comprimé pelliculé – [momélotinib (dichlorhydrate de)]",Remise à disposition,Hématologie,2026-05-06,2026-05-06,2026-05-06,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/omjjara-100-mg-comprime-pellicule-momelotinib-dichlorhydrate-de
"Tegretol 20 mg/ml, suspension buvable – [carbamazépine]",Remise à disposition,Neurologie,2026-05-06,2026-05-06,2026-05-06,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tegretol-20-mg-ml-suspension-buvable-carbamazepine
"Ipratropium Teva 0,5 mg/2 ml adultes, solution pour inhalation par nébuliseur en récipient unidose – [ipratropium (bromure d')",Remise à disposition,Pneumologie,2026-05-05,2026-03-24,2026-03-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ipratropium-teva-0-5-mg-2-ml-adultes-solution-pour-inhalation-par-nebuliseur-en-recipient-unidose-ipratropium-bromure-d
"Maginjectable 0,8 pour cent, solution injectable – [magnésium (pidolate de)]",Remise à disposition,Hépato-gastroentérologie,2026-05-05,2026-01-19,2026-01-19,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/maginjectable-0-8-pour-cent-solution-injectable-magnesium-pidolate-de
"Repatha 140 mg, solution injectable en stylo prérempli – [evolocumab (mammifère/hamster/cellules cho)]",Remise à disposition,"Endocrinologie, Neurologie, Cardiologie",2026-05-05,2026-02-26,2026-02-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/repatha-140-mg-solution-injectable-en-stylo-prerempli-evolocumab-mammifere-hamster-cellules-cho
"Sibnayal 8 mEq, granulés à libération prolongée – [potassium (bicarbonate de) /potassium (citrate de)]",Remise à disposition,Néphrologie,2026-05-05,2026-04-01,2026-04-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/sibnayal-8-meq-granules-a-liberation-prolongee-potassium-bicarbonate-de-potassium-citrate-de
"Fluvoxamine 100 mg, comprimé pelliculé sécable – [fluvoxamine (maléate de)]",Remise à disposition,Psychiatrie,2026-05-05,2026-04-14,2026-04-14,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluvoxamine-100-mg-comprime-pellicule-secable-fluvoxamine-maleate-de
"Varilrix, poudre et solvant pour solution injectable en seringue préremplie. Vaccin varicelleux (vivant) – [virus de la varicelle souche Oka (vivant, atténué) ((mammifères/humain/cellules diploïdes MRC-5))]",Tension d'approvisionnement,Infectiologie,2026-05-05,2026-03-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/varilrix-poudre-et-solvant-pour-solution-injectable-en-seringue-preremplie-vaccin-varicelleux-vivant-virus-de-la-varicelle-souche-oka-vivant-attenue-mammiferes-humain-cellules-diploides-mrc-5
"Burinex 1 mg et 5 mg, comprimé – [bumétanide]",Tension d'approvisionnement,"Néphrologie, Cardiologie",,2026-04-16,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/burinex-1-mg-et-5-mg-comprime-bumetanide
"Dobutamine Panpharma 250 mg/20 ml, solution à diluer pour perfusion – [dobutamine (chlorhydrate de)]",Tension d'approvisionnement,Cardiologie,,2026-04-03,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dobutamine-panpharma-250-mg-20-ml-solution-a-diluer-pour-perfusion-dobutamine-chlorhydrate-de
"Pylera 140 mg/125 mg/125 mg, gélule – [bismuth potassique (sous-citrate de) /métronidazole /tétracycline (chlorhydrate de)]",Remise à disposition,Infectiologie,2026-05-04,2025-11-01,2025-11-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/pylera-140-mg-125-mg-125-mg-gelule-bismuth-potassique-sous-citrate-de-metronidazole-tetracycline-chlorhydrate-de
"Imukin 2 X 10⁶ UI (0,1 mg), solution injectable – [interféron gamma-1b]",Remise à disposition,Infectiologie,2026-05-04,2026-05-04,2026-05-04,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imukin-2-x-106-ui-0-1-mg-solution-injectable-interferon-gamma-1b
"Cardiorythmine 50 mg/10 ml, solution injectable – [ajmaline]",Arrêt de commercialisation,Cardiologie,2026-05-04,2011-11-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cardiorythmine-50-mg-10-ml-solution-injectable-ajmaline
"Chlorhydrate d'oxybuprocaïne Thea 1,6 mg/0,4 ml, collyre en récipient unidose – Boites de 20 unidoses et boites de 100 unidoses – [chlorhydrate d'oxybuprocaïne]",Tension d'approvisionnement,Ophtalmologie,2026-04-30,2025-12-23,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/chlorhydrate-doxybuprocaine-thea-1-6-mg-0-4-ml-collyre-en-recipient-unidose-boites-de-20-unidoses-et-boites-de-100-unidoses-chlorhydrate-doxybuprocaine
"Digidot 80mg, poudre pour solution pour perfusion (Digifab importation) – [Fragment Fab d’immunoglobuline antidigitalique ovin]",Arrêt de commercialisation,Cardiologie,2026-04-28,2011-04-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/digidot-80mg-poudre-pour-solution-pour-perfusion-digifab-importation-fragment-fab-dimmunoglobuline-antidigitalique-ovin
"Imogam Rage 150 UI/mL, solution injectable – [Immunoglobuline humaine rabique]",Arrêt de commercialisation,Infectiologie,2026-04-28,2022-12-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imogam-rage-150-ui-ml-solution-injectable-immunoglobuline-humaine-rabique
"Lyrica 20 mg/ml, solution buvable – [prégabaline]",Remise à disposition,"Psychiatrie, Neurologie",2026-04-27,2026-04-27,2026-04-27,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lyrica-20-mg-ml-solution-buvable-pregabaline
"Dopamine Viatris 40 mg/ml, solution pour perfusion – [dopamine (chlorhydrate de)]",Remise à disposition,Cardiologie,2026-04-27,2026-04-24,2026-04-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dopamine-viatris-40-mg-ml-solution-pour-perfusion-dopamine-chlorhydrate-de
"Tibéral 1 g, solution injectable pour perfusion – [ornidazole]",Rupture de stock,Infectiologie,2026-04-27,2025-11-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tiberal-1-g-solution-injectable-pour-perfusion-ornidazole
"Mitomycine Accord 10 mg, poudre pour solution injectable / perfusion ou voie intravésicale – [mitomycine]",Rupture de stock,Oncologie/Radiothérapie,2026-04-24,2026-04-24,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mitomycine-accord-10-mg-poudre-pour-solution-injectable-perfusion-ou-voie-intravesicale-mitomycine
"Bendamustine Hikma 2,5 mg/ml, poudre pour solution à diluer pour perfusion – [bendamustine (chlorhydrate de) monohydraté]",Remise à disposition,Oncologie/Radiothérapie,2026-04-23,2026-04-23,2026-04-23,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/bendamustine-hikma-2-5-mg-ml-poudre-pour-solution-a-diluer-pour-perfusion-bendamustine-chlorhydrate-de-monohydrate
"Protexel 50 UI/mL, poudre et solvant pour solution injectable – [protéine C humaine]",Remise à disposition,Hématologie,2026-04-22,2026-04-22,2026-04-22,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/protexel-50-ui-ml-poudre-et-solvant-pour-solution-injectable-proteine-c-humaine
"Nitrendipine Viatris 10 mg, comprimé et Nitrendipine Viatris 20 mg, comprimé sécable - [nitrendipine]",Tension d'approvisionnement,Cardiologie,,2026-03-16,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/nitrendipine-viatris-10-mg-comprime-et-nitrendipine-viatris-20-mg-comprime-secable-nitrendipine
"Zypadhera 405 mg, poudre et solvant pour suspension injectable à libération prolongée – [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,,2026-04-21,2026-04-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-405-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate
"Zypadhera 210 mg, poudre et solvant pour suspension injectable à libération prolongée – [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,,2026-04-21,2026-04-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-210-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate
"Visudyne 15 mg, poudre pour solution pour perfusion – [vertéporfine]",Tension d'approvisionnement,Ophtalmologie,2026-04-21,2023-12-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/visudyne-15-mg-poudre-pour-solution-pour-perfusion-verteporfine
"Ogivri 150 mg, poudre pour solution à diluer pour perfusion – [trastuzumab]",Remise à disposition,Oncologie/Radiothérapie,2026-04-17,2026-04-17,2026-04-17,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ogivri-150-mg-poudre-pour-solution-a-diluer-pour-perfusion-trastuzumab
"Tofranil 10 mg, comprimé enrobé – [imipramine]",Rupture de stock,Psychiatrie,2026-04-15,2022-07-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tofranil-10-mg-comprime-enrobe-imipramine
"Claventin 3g/200 mg et 5g/200 mg, poudre pour solution injectable (I.V.) – [ticarcilline (sodique), acide clavulanique ]",Rupture de stock,Infectiologie,2026-04-14,2014-08-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/claventin-3g-200-mg-et-5g-200-mg-poudre-pour-solution-injectable-i-v-ticarcilline-sodique-acide-clavulanique
"Téralithe LP 400 mg, comprimé sécable à libération prolongée – [lithium (carbonate de)]",Remise à disposition,Psychiatrie,2026-04-14,2026-04-08,2026-04-08,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/teralithe-lp-400-mg-comprime-secable-a-liberation-prolongee-lithium-carbonate-de
"Spécialités à base de Venlafaxine LP 37,5 mg et LP 75 mg en gélule à libération prolongée – [venlafaxine]",Tension d'approvisionnement,Psychiatrie,2026-04-13,2025-03-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-venlafaxine-lp-37-5-mg-et-lp-75-mg-en-gelule-a-liberation-prolongee-venlafaxine
"Clomipramine Viatris 25 mg, comprimé pelliculé – [clomipramine (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-04-10,2025-07-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/clomipramine-viatris-25-mg-comprime-pellicule-clomipramine-chlorhydrate-de
"Parlodel 5 mg et 10 mg, gélule – [bromocriptine (mésilate de)]",Remise à disposition,"Endocrinologie, Neurologie",2026-04-10,2026-04-10,2026-04-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/parlodel-5-mg-et-10-mg-gelule-bromocriptine-mesilate-de
"Scopoderm TTS 1 mg/72 heures, dispositif transdermique – [scopolamine]",Remise à disposition,ORL,2026-04-09,2026-04-01,2026-04-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/scopoderm-tts-1-mg-72-heures-dispositif-transdermique-scopolamine
"Paclitaxel AHCL 6 mg/ml, solution à diluer pour perfusion - flacons de 50 ml et 100 ml – [paclitaxel]",Tension d'approvisionnement,Oncologie/Radiothérapie,2026-04-09,2023-09-07,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/paclitaxel-ahcl-6-mg-ml-solution-a-diluer-pour-perfusion-flacons-de-50-ml-et-100-ml-paclitaxel
"Endoxan 500 et 1000 mg, poudre pour solution injectable – [cyclophosphamide]",Tension d'approvisionnement,Oncologie/Radiothérapie,,2026-01-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/endoxan-500-et-1000-mg-poudre-pour-solution-injectable-cyclophosphamide
"Quinimax 500 mg, comprimé pelliculé sécable – [inchonidine (monochlorhydrate de) monohydraté/cinchonine (chlorhydrate de) dihydraté/quinidine (chlorhydrate de) monohydraté/quinine (chlorhydrate de)]",Rupture de stock,Infectiologie,2026-04-03,2026-02-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/quinimax-500-mg-comprime-pellicule-secable-inchonidine-monochlorhydrate-de-monohydrate-cinchonine-chlorhydrate-de-dihydrate-quinidine-chlorhydrate-de-monohydrate-quinine-chlorhydrate-de
"Zinnat 125 mg/5 ml enfants et nourrissons, granulés pour suspension buvable en flacon – [céfuroxime axétil]",Remise à disposition,Infectiologie,2026-04-03,2026-04-03,2026-04-03,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zinnat-125-mg-5-ml-enfants-et-nourrissons-granules-pour-suspension-buvable-en-flacon-cefuroxime-axetil
"Octim 150 microgrammes/dose, solution pour pulvérisation nasale – [acétate de desmopressine trihydraté]",Remise à disposition,Hématologie,2026-04-02,2026-03-24,2026-03-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/octim-150-microgrammes-dose-solution-pour-pulverisation-nasale-acetate-de-desmopressine-trihydrate
"Lantus Solostar 100 unités/ ml, solution injectable en stylo prérempli – [insuline glargine]",Tension d'approvisionnement,Endocrinologie,2026-04-02,2026-03-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lantus-solostar-100-unites-ml-solution-injectable-en-stylo-prerempli-insuline-glargine
"Tolvaptan Biogaran 15 mg, comprimé + Tolvaptan Biogaran 45 mg, comprimé - [tolvaptan]",Remise à disposition,Néphrologie,2026-04-02,2026-03-17,2026-03-17,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tolvaptan-biogaran-15-mg-comprime-tolvaptan-biogaran-45-mg-comprime-tolvaptan
"Pulmocis 2 mg, trousse pour préparation radiopharmaceutique – [albumine humaine plasmatique (macroagrégats d')]",Remise à disposition,"Imagerie/Radiologie, Médecine nucléaire",2026-04-02,2026-03-31,2026-03-31,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/pulmocis-2-mg-trousse-pour-preparation-radiopharmaceutique-albumine-humaine-plasmatique-macroagregats-d
"Toujeo 300 unités/ml SoloStar, solution injectable en stylo prérempli – [insuline glargine ((bactérie/Escherichia Coli))]",Tension d'approvisionnement,Endocrinologie,,2026-03-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/toujeo-300-unites-ml-solostar-solution-injectable-en-stylo-prerempli-insuline-glargine-bacterie-escherichia-coli
"Fivasa 400 mg, comprimé enrobé gastrorésistant – [mésalazine]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-04-01,2025-11-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fivasa-400-mg-comprime-enrobe-gastroresistant-mesalazine
"Gemcitabine Sun 10 mg/mL, solution pour perfusion en poche de 120 ml – [gemcitabine (chlorhydrate de)]",Rupture de stock,Oncologie/Radiothérapie,2026-04-01,2025-11-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gemcitabine-sun-10-mg-ml-solution-pour-perfusion-en-poche-de-120-ml-gemcitabine-chlorhydrate-de
"Tolvaptan Teva 15 mg, comprimé + Tolvaptan Teva 45 mg, comprimé – [tolvaptan]",Remise à disposition,Néphrologie,2026-03-27,2026-03-19,2026-03-19,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tolvaptan-teva-15-mg-comprime-tolvaptan-teva-45-mg-comprime-tolvaptan
"Lénalidomide Mylan, gélule – [lénalidomide]",Remise à disposition,Oncologie/Radiothérapie,2026-03-26,2026-03-26,2026-03-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lenalidomide-mylan-gelule-lenalidomide
"Spécialités à base d'oxybate de sodium 500 mg/mL, solution buvable – [sodium (oxybate de)]",Remise à disposition,Neurologie,2026-03-26,2026-03-23,2026-03-23,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-doxybate-de-sodium-500-mg-ml-solution-buvable-sodium-oxybate-de
"Rifamycine Chibret 1000 000 UI pour cent, collyre en solution – [rifamycine sodique]",Remise à disposition,Ophtalmologie,2026-03-25,2026-03-25,2026-03-25,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifamycine-chibret-1000-000-ui-pour-cent-collyre-en-solution-rifamycine-sodique
"Fluoresceine Faure 0,5%, collyre en solution en récipient unidose – [fluorescéine sodique]",Tension d'approvisionnement,Ophtalmologie,2026-03-25,2025-10-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluoresceine-faure-0-5-collyre-en-solution-en-recipient-unidose-fluoresceine-sodique
"Un-Alfa 1 microgramme/0,5 ml, solution injectable IV en ampoule – [alfacalcidol]",Remise à disposition,"Endocrinologie, Néphrologie",2026-03-25,2026-03-24,2026-03-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/un-alfa-1-microgramme-0-5-ml-solution-injectable-iv-en-ampoule-alfacalcidol
"Fébuxostat 80 mg, comprimé pelliculé – [fébuxostat hémihydraté]",Remise à disposition,Rhumatologie,2026-03-24,2026-03-16,2026-03-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/febuxostat-80-mg-comprime-pellicule-febuxostat-hemihydrate
"Hexatrione 2 pour cent, suspension injectable (intra-articulaire) – [hexacetonide de triamcinolone]",Remise à disposition,Rhumatologie,2026-03-19,2026-03-16,2026-03-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/hexatrione-2-pour-cent-suspension-injectable-intra-articulaire-hexacetonide-de-triamcinolone
"Xenpozyme 20 mg, poudre pour solution à diluer pour perfusion – [olipudase alfa]",Tension d'approvisionnement,Endocrinologie,2026-03-17,2025-09-30,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/xenpozyme-20-mg-poudre-pour-solution-a-diluer-pour-perfusion-olipudase-alfa
"Wilfactin 100 UI/mL, poudre et solvant pour solution injectable – [facteur Willebrand de coagulation humain]",Tension d'approvisionnement,Hématologie,2026-03-16,2025-04-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/wilfactin-100-ui-ml-poudre-et-solvant-pour-solution-injectable-facteur-willebrand-de-coagulation-humain
"Ritonavir Viatris 100 mg, comprimé pelliculé – [ritonavir]",Rupture de stock,Infectiologie,,2025-09-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ritonavir-viatris-100-mg-comprime-pellicule-ritonavir
"Méthylprednisolone Viatris 500 mg, poudre pour solution injectable (IM-IV) – [méthylprednisolone (hydrogénosuccinate de)]",Tension d'approvisionnement,"Allergologie, Rhumatologie, Infectiologie",,2025-07-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylprednisolone-viatris-500-mg-poudre-pour-solution-injectable-im-iv-methylprednisolone-hydrogenosuccinate-de
"Soludactone 100 mg et 200 mg, lyophilisat et solution pour usage parentéral – [canrénoate de potassium / trométamol]",Arrêt de commercialisation,Cardiologie,2026-03-05,2023-11-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/soludactone-100-mg-et-200-mg-lyophilisat-et-solution-pour-usage-parenteral-canrenoate-de-potassium-trometamol
