medicament,statut,domaine,date_maj,date_debut,date_remise,url
Coli-genta AP-HP 135 mg – 100 mg gélule adulte – [colistine ; gentamicine],Rupture de stock,Infectiologie,2026-07-02,2026-02-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/coli-genta-ap-hp-135-mg-100-mg-gelule-adulte-colistine-gentamicine
"Gardénal 50 mg, comprimé – [phénobarbital]",Tension d'approvisionnement,Neurologie,2026-07-02,2026-04-14,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gardenal-50-mg-comprime-phenobarbital
"Colchicine Opocalcium 1 mg, comprimé sécable – [colchicine, opium (poudre d'), tiémonium (métilsulfate de)]",Tension d'approvisionnement,"Néphrologie, Rhumatologie, Cardiologie",,2024-11-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/colchicine-opocalcium-1-mg-comprime-secable-colchicine-opium-poudre-d-tiemonium-metilsulfate-de
"Imbruvica 560 mg, comprimé pelliculé – [ibrutinib]",Rupture de stock,Oncologie/Radiothérapie,,2026-06-29,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imbruvica-560-mg-comprime-pellicule-ibrutinib
"Célestène 4 mg/1 ml, solution injectable – [bétaméthasone (phosphate sodique de)]",Tension d'approvisionnement,"Dermatologie, ORL, Rhumatologie",,2026-06-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/celestene-4-mg-1-ml-solution-injectable-betamethasone-phosphate-sodique-de
"Lariam 250 mg, comprimé sécable – [méfloquine]",Rupture de stock,Infectiologie,,2026-06-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lariam-250-mg-comprime-secable-mefloquine
"Zophren 2 mg/ml, solution injectable en ampoule (IV)  – [ondansétron]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-06-26,2023-12-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zophren-2-mg-ml-solution-injectable-en-ampoule-iv-ondansetron
"Repevax, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigène(s))",Tension d'approvisionnement,Infectiologie,2026-06-25,2024-10-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/repevax-suspension-injectable-en-seringue-preremplie-vaccin-diphterique-tetanique-coquelucheux-acellulaire-multicompose-et-poliomyelitique-inactive-adsorbe-a-teneur-reduite-en-antigene-s-1
"Emend 125 mg, poudre pour suspension buvable – [aprépitant]",Tension d'approvisionnement,Hépato-gastroentérologie,2026-06-25,2026-01-09,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/emend-125-mg-poudre-pour-suspension-buvable-aprepitant
"Quasym L.P., gélule à libération modifiée - [méthylphénidate]",Tension d'approvisionnement,Psychiatrie,,2026-06-18,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/quasym-l-p-gelule-a-liberation-modifiee-methylphenidate-1
